"","County","State","GEOID","State.Code","Region","Division","giniE","HUEST","rentBurdenPerc","ownBurdenPerc"
"1","Winston County","Alabama","01133","AL","South","East South Central",0.48,13765,32.96,30.1
"2","Etowah County","Alabama","01055","AL","South","East South Central",0.46,47855,44.2,24.83
"3","Coffee County","Alabama","01031","AL","South","East South Central",0.43,23403,39.82,17.71
"4","Colbert County","Alabama","01033","AL","South","East South Central",0.45,26861,49.79,23.71
"5","Conecuh County","Alabama","01035","AL","South","East South Central",0.43,7223,30.52,25.03
"6","Coosa County","Alabama","01037","AL","South","East South Central",0.45,6635,43.31,28.3
"7","Covington County","Alabama","01039","AL","South","East South Central",0.46,19068,47.44,22.16
"8","Crenshaw County","Alabama","01041","AL","South","East South Central",0.49,6862,35.06,21.61
"9","Cullman County","Alabama","01043","AL","South","East South Central",0.44,38252,42.17,24.33
"10","Dale County","Alabama","01045","AL","South","East South Central",0.45,23201,39.81,22.13
"11","Dallas County","Alabama","01047","AL","South","East South Central",0.47,20460,55.98,25.82
"12","DeKalb County","Alabama","01049","AL","South","East South Central",0.47,31593,42.82,21.55
"13","Elmore County","Alabama","01051","AL","South","East South Central",0.44,34475,53.31,20.22
"14","Escambia County","Alabama","01053","AL","South","East South Central",0.48,16645,45.94,22.16
"15","Autauga County","Alabama","01001","AL","South","East South Central",0.45,23896,48.66,24.97
"16","Baldwin County","Alabama","01003","AL","South","East South Central",0.46,119412,46.94,25.89
"17","Barbour County","Alabama","01005","AL","South","East South Central",0.49,12080,49.24,24.8
"18","Bibb County","Alabama","01007","AL","South","East South Central",0.45,9261,48.58,18.86
"19","Blount County","Alabama","01009","AL","South","East South Central",0.46,24517,44.35,20.29
"20","Bullock County","Alabama","01011","AL","South","East South Central",0.47,4587,53.52,29.9
"21","Butler County","Alabama","01013","AL","South","East South Central",0.46,10147,45.06,34.38
"22","Calhoun County","Alabama","01015","AL","South","East South Central",0.46,53796,45.46,22.84
"23","Chambers County","Alabama","01017","AL","South","East South Central",0.42,17009,37.21,28.41
"24","Cherokee County","Alabama","01019","AL","South","East South Central",0.45,16715,40.51,25.11
"25","Chilton County","Alabama","01021","AL","South","East South Central",0.47,20056,44.53,28.73
"26","Choctaw County","Alabama","01023","AL","South","East South Central",0.47,7413,57.89,23.7
"27","Clarke County","Alabama","01025","AL","South","East South Central",0.52,12857,41.59,25.98
"28","Clay County","Alabama","01027","AL","South","East South Central",0.46,6833,31.24,22.7
"29","Cleburne County","Alabama","01029","AL","South","East South Central",0.46,6891,35.58,27.65
"30","Randolph County","Alabama","01111","AL","South","East South Central",0.48,12157,39.38,24.17
"31","Russell County","Alabama","01113","AL","South","East South Central",0.47,28118,52.14,31.59
"32","St. Clair County","Alabama","01115","AL","South","East South Central",0.41,37258,37.07,23.46
"33","Shelby County","Alabama","01117","AL","South","East South Central",0.44,89133,40.98,19.77
"34","Sumter County","Alabama","01119","AL","South","East South Central",0.53,6929,74.47,40.95
"35","Talladega County","Alabama","01121","AL","South","East South Central",0.47,38092,47.1,27.92
"36","Tallapoosa County","Alabama","01123","AL","South","East South Central",0.47,22664,50.79,27.17
"37","Tuscaloosa County","Alabama","01125","AL","South","East South Central",0.47,92792,51.62,25.48
"38","Walker County","Alabama","01127","AL","South","East South Central",0.45,31352,48.61,26.36
"39","Washington County","Alabama","01129","AL","South","East South Central",0.5,8634,30.58,27.75
"40","Wilcox County","Alabama","01131","AL","South","East South Central",0.49,5840,47.65,30.63
"41","Lawrence County","Alabama","01079","AL","South","East South Central",0.44,15363,36.06,31.89
"42","Lee County","Alabama","01081","AL","South","East South Central",0.5,71225,51.64,23.35
"43","Fayette County","Alabama","01057","AL","South","East South Central",0.46,8540,55.64,31
"44","Franklin County","Alabama","01059","AL","South","East South Central",0.43,14126,32.29,17.55
"45","Geneva County","Alabama","01061","AL","South","East South Central",0.44,12955,39.8,25.25
"46","Greene County","Alabama","01063","AL","South","East South Central",0.51,5177,67.18,54.96
"47","Hale County","Alabama","01065","AL","South","East South Central",0.5,7880,61.85,38.12
"48","Henry County","Alabama","01067","AL","South","East South Central",0.44,9255,45.84,21.92
"49","Houston County","Alabama","01069","AL","South","East South Central",0.48,48134,46.02,22.14
"50","Jackson County","Alabama","01071","AL","South","East South Central",0.45,25194,42.03,26.78
"51","Jefferson County","Alabama","01073","AL","South","East South Central",0.5,309697,49.84,25.34
"52","Lamar County","Alabama","01075","AL","South","East South Central",0.47,7431,55.17,16.94
"53","Lauderdale County","Alabama","01077","AL","South","East South Central",0.46,45611,41.42,23.58
"54","Perry County","Alabama","01105","AL","South","East South Central",0.49,4750,61.03,65.22
"55","Pickens County","Alabama","01107","AL","South","East South Central",0.49,9647,52.86,21.78
"56","Limestone County","Alabama","01083","AL","South","East South Central",0.45,36526,41.09,17.39
"57","Lowndes County","Alabama","01085","AL","South","East South Central",0.51,5274,73.09,41.41
"58","Macon County","Alabama","01087","AL","South","East South Central",0.51,10321,51.98,30.71
"59","Madison County","Alabama","01089","AL","South","East South Central",0.46,166516,45.25,17.84
"60","Marengo County","Alabama","01091","AL","South","East South Central",0.55,10397,58.32,31.96
"61","Marion County","Alabama","01093","AL","South","East South Central",0.46,14806,41.77,25.81
"62","Marshall County","Alabama","01095","AL","South","East South Central",0.47,40791,43.11,27.82
"63","Mobile County","Alabama","01097","AL","South","East South Central",0.48,185035,52.77,26.25
"64","Monroe County","Alabama","01099","AL","South","East South Central",0.55,11471,53.16,31.38
"65","Montgomery County","Alabama","01101","AL","South","East South Central",0.49,105317,50.87,23.55
"66","Morgan County","Alabama","01103","AL","South","East South Central",0.45,52398,42.91,21.46
"67","Pike County","Alabama","01109","AL","South","East South Central",0.54,16273,61.03,28.06
"68","Aleutians West Census Area","Alaska","02016","AK","West","Pacific",0.35,1966,23.74,28.65
"69","Valdez-Cordova Census Area","Alaska","02261","AK","West","Pacific",0.41,6207,31.9,12.1
"70","Aleutians East Borough","Alaska","02013","AK","West","Pacific",0.41,755,35.11,20.67
"71","Kusilvak Census Area","Alaska","02158","AK","West","Pacific",0.43,2237,27.49,19.53
"72","Lake and Peninsula Borough","Alaska","02164","AK","West","Pacific",0.43,1511,17.81,41.43
"73","Matanuska-Susitna Borough","Alaska","02170","AK","West","Pacific",0.42,42120,52.13,29.49
"74","Nome Census Area","Alaska","02180","AK","West","Pacific",0.43,4100,38.79,26.35
"75","North Slope Borough","Alaska","02185","AK","West","Pacific",0.41,2631,25.34,18.44
"76","Northwest Arctic Borough","Alaska","02188","AK","West","Pacific",0.45,2756,27.18,18.15
"77","Petersburg Borough","Alaska","02195","AK","West","Pacific",0.43,1712,46.24,18.44
"78","Prince of Wales-Hyder Census Area","Alaska","02198","AK","West","Pacific",0.43,3446,40.73,21.79
"79","Sitka City and Borough","Alaska","02220","AK","West","Pacific",0.42,4252,48.72,33.08
"80","Skagway Municipality","Alaska","02230","AK","West","Pacific",0.3,719,19.86,29.7
"81","Southeast Fairbanks Census Area","Alaska","02240","AK","West","Pacific",0.41,3904,32.24,9.7
