"","State","GEOID","State.Code","Region","Division","giniE","HUEST","rentBurdenPerc","ownBurdenPerc"
"1","Alabama","01","AL","South","East South Central",0.47,2284847,47.09,22.74
"2","Alaska","02","AK","West","Pacific",0.44,319854,44.85,27.14
"3","Arizona","04","AZ","West","Mountain",0.46,3075981,46.5,25.65
"4","Arkansas","05","AR","South","West South Central",0.48,1389129,43.66,21.52
"5","California","06","CA","West","Pacific",0.49,14366336,53.21,37.1
"6","Colorado","08","CO","West","Mountain",0.45,2464164,49.88,28.03
"7","Connecticut","09","CT","Northeast","New England",0.5,1524992,49.11,30.71
"8","Delaware","10","DE","South","South Atlantic",0.45,443781,49.38,25.15
"9","District of Columbia","11","DC","South","South Atlantic",0.51,322793,42.73,25.3
"10","Florida","12","FL","South","South Atlantic",0.48,9673682,55.87,32.36
"11","Georgia","13","GA","South","South Atlantic",0.48,4378391,48.38,24.37
"12","Hawaii","15","HI","West","Pacific",0.44,550273,53.44,41.02
"13","Idaho","16","ID","West","Mountain",0.43,751105,45.69,23.61
"14","Illinois","17","IL","Midwest","East North Central",0.48,5388066,45.68,25.61
"15","Indiana","18","IN","Midwest","East North Central",0.46,2921032,45.34,18.76
"16","Iowa","19","IA","Midwest","West North Central",0.44,1418626,41.79,18.83
"17","Kansas","20","KS","Midwest","West North Central",0.45,1288401,42.33,19.35
"18","Kentucky","21","KY","South","East South Central",0.48,2006358,43.29,21.24
"19","Louisiana","22","LA","South","West South Central",0.5,2089777,52.1,24.79
"20","Maine","23","ME","Northeast","New England",0.45,750939,43.86,25.86
"21","Maryland","24","MD","South","South Atlantic",0.46,2470316,49.86,26.13
"22","Massachusetts","25","MA","Northeast","New England",0.48,2928732,48.84,29.08
"23","Michigan","26","MI","Midwest","East North Central",0.46,4629611,47.86,22.18
"24","Minnesota","27","MN","Midwest","West North Central",0.44,2477753,44.04,20.7
"25","Mississippi","28","MS","South","East South Central",0.49,1339021,48.21,25.78
"26","Missouri","29","MO","Midwest","West North Central",0.46,2819383,44.32,20.44
"27","Montana","30","MT","West","Mountain",0.46,519935,44.76,29.04
"28","Nebraska","31","NE","Midwest","West North Central",0.44,851227,41.19,19.6
"29","Nevada","32","NV","West","Mountain",0.47,1285684,51.06,28.51
"30","New Hampshire","33","NH","Northeast","New England",0.44,642315,46.89,29.22
"31","New Jersey","34","NJ","Northeast","Middle Atlantic",0.48,3641812,48.95,32.59
"32","New Mexico","35","NM","West","Mountain",0.48,948473,46.81,27.69
"33","New York","36","NY","Northeast","Middle Atlantic",0.51,8404381,50.11,31.46
"34","North Carolina","37","NC","South","South Atlantic",0.47,4747943,46.42,23.32
"35","North Dakota","38","ND","Midwest","West North Central",0.46,380173,38.08,16.38
"36","Ohio","39","OH","Midwest","East North Central",0.47,5232869,43.44,19.78
"37","Oklahoma","40","OK","South","West South Central",0.47,1749464,44.07,20.58
"38","Oregon","41","OR","West","Pacific",0.45,1808465,48.52,28.88
"39","Pennsylvania","42","PA","Northeast","Middle Atlantic",0.47,5732628,46.9,23.46
"40","Rhode Island","44","RI","Northeast","New England",0.46,470168,48.86,29.15
"41","South Carolina","45","SC","South","South Atlantic",0.47,2351286,47.51,23.57
"42","South Dakota","46","SD","Midwest","West North Central",0.44,401862,39.65,22.53
"43","Tennessee","47","TN","South","East South Central",0.47,3028213,46.4,22.84
"44","Texas","48","TX","South","West South Central",0.48,11283353,48.02,26.6
"45","Utah","49","UT","West","Mountain",0.43,1133521,44.03,24.37
"46","Vermont","50","VT","Northeast","New England",0.45,339439,54.46,26.03
"47","Virginia","51","VA","South","South Atlantic",0.47,3562143,46.02,24.55
"48","Washington","53","WA","West","Pacific",0.46,3195004,47.63,28.75
"49","West Virginia","54","WV","South","South Atlantic",0.46,894956,45.56,20.1
"50","Wisconsin","55","WI","Midwest","East North Central",0.44,2725296,42.36,21.3
"51","Wyoming","56","WY","West","Mountain",0.43,280291,44.37,22.56
