"","State","GEOID","year","rentBurdenPerc","ownBurdenPerc","giniE"
"1","Alabama","01",2006,48.12,28.98,0.47
"2","Alaska","02",2006,43.91,34.23,0.42
"3","Arizona","04",2006,48.56,37.58,0.45
"4","Arkansas","05",2006,48.93,27.03,0.46
"5","California","06",2006,54.57,52.03,0.47
"6","Colorado","08",2006,50.42,38.61,0.45
"7","Connecticut","09",2006,50.05,39.72,0.48
"8","Delaware","10",2006,48.96,31.33,0.43
"9","District of Columbia","11",2006,47.75,38.14,0.54
"10","Florida","12",2006,56.1,45.14,0.47
"11","Georgia","13",2006,49.93,33.84,0.46
"12","Hawaii","15",2006,51.63,45.84,0.44
"13","Idaho","16",2006,42.87,33.94,0.42
"14","Illinois","17",2006,49.33,38.8,0.46
"15","Indiana","18",2006,48.15,26.78,0.43
"16","Iowa","19",2006,44.3,25.11,0.42
"17","Kansas","20",2006,44.62,25.82,0.44
"18","Kentucky","21",2006,45.74,27.78,0.46
"19","Louisiana","22",2006,50.79,28.8,0.48
"20","Maine","23",2006,46.35,33.46,0.43
"21","Maryland","24",2006,46.49,35.11,0.43
"22","Massachusetts","25",2006,51.29,41.92,0.46
"23","Michigan","26",2006,51.83,35.39,0.44
"24","Minnesota","27",2006,47.35,33.95,0.43
"25","Mississippi","28",2006,53.26,33.32,0.47
"26","Missouri","29",2006,46.43,28.76,0.45
"27","Montana","30",2006,46.26,34.77,0.43
"28","Nebraska","31",2006,42.57,27.62,0.43
"29","Nevada","32",2006,50.26,45.63,0.43
"30","New Hampshire","33",2006,49.68,39.06,0.42
"31","New Jersey","34",2006,49.8,44.78,0.46
"32","New Mexico","35",2006,47.83,31.11,0.46
"33","New York","36",2006,50.86,41.08,0.5
"34","North Carolina","37",2006,47.44,31.41,0.46
"35","North Dakota","38",2006,40.56,23.13,0.43
"36","Ohio","39",2006,48.47,31.94,0.45
"37","Oklahoma","40",2006,46.69,26.97,0.46
"38","Oregon","41",2006,49.71,39.21,0.44
"39","Pennsylvania","42",2006,46.87,32.68,0.46
"40","Rhode Island","44",2006,47.08,43.63,0.44
"41","South Carolina","45",2006,46.77,31.93,0.46
"42","South Dakota","46",2006,38.73,26.89,0.44
"43","Tennessee","47",2006,47.57,31.66,0.47
"44","Texas","48",2006,48.54,33.43,0.47
"45","Utah","49",2006,44.8,33.23,0.41
"46","Vermont","50",2006,51.16,36.54,0.42
"47","Virginia","51",2006,45.57,34.34,0.46
"48","Washington","53",2006,47.48,39.9,0.44
"49","West Virginia","54",2006,47.78,24.57,0.45
"50","Wisconsin","55",2006,46.19,33.53,0.42
"51","Wyoming","56",2006,34.45,26.93,0.41
"52","Puerto Rico","72",2006,55.58,47.77,0.54
"53","Alabama","01",2007,48.13,29.23,0.47
"54","Alaska","02",2007,42.3,34.97,0.41
"55","Arizona","04",2007,50.07,39.66,0.45
"56","Arkansas","05",2007,47.46,26.58,0.46
"57","California","06",2007,53.74,53.26,0.47
"58","Colorado","08",2007,49.19,38,0.45
"59","Connecticut","09",2007,50.39,40.36,0.48
"60","Delaware","10",2007,51.2,36.15,0.44
"61","District of Columbia","11",2007,48.44,38.81,0.54
"62","Florida","12",2007,56.45,49.18,0.47
"63","Georgia","13",2007,49.05,34.72,0.46
"64","Hawaii","15",2007,53.16,46.01,0.42
"65","Idaho","16",2007,42.56,33.27,0.44
"66","Illinois","17",2007,49.9,38.85,0.47
"67","Indiana","18",2007,45.26,26.91,0.43
"68","Iowa","19",2007,42.35,25.35,0.43
"69","Kansas","20",2007,41.65,25.69,0.44
"70","Kentucky","21",2007,44.59,27.09,0.47
